month,customer,channel,revenue_usd,units
2024-08,Hearth & Hand Provisions (3 doors),wholesale,2959,32
2024-08,Copper Birch Kitchen Co.,wholesale,3057,33
2024-08,Northline Mercantile (2 doors),wholesale,2525,27
2024-08,Fogtown General,wholesale,1826,20
2024-08,Wholesale — other doors,wholesale,20637,224
2024-08,DTC (aggregate),dtc,108707,735
2024-08,Marketplace,marketplace,7269,52
2024-09,Hearth & Hand Provisions (3 doors),wholesale,4288,47
2024-09,Copper Birch Kitchen Co.,wholesale,3106,34
2024-09,Northline Mercantile (2 doors),wholesale,2367,26
2024-09,Fogtown General,wholesale,2458,27
2024-09,Wholesale — other doors,wholesale,24284,264
2024-09,DTC (aggregate),dtc,123861,837
2024-09,Marketplace,marketplace,7791,55
2024-10,Hearth & Hand Provisions (3 doors),wholesale,4473,49
2024-10,Copper Birch Kitchen Co.,wholesale,2316,25
2024-10,Northline Mercantile (2 doors),wholesale,2472,27
2024-10,Fogtown General,wholesale,2257,25
2024-10,Wholesale — other doors,wholesale,22234,242
2024-10,DTC (aggregate),dtc,134685,910
2024-10,Marketplace,marketplace,10171,72
2024-11,Hearth & Hand Provisions (3 doors),wholesale,8315,90
2024-11,Copper Birch Kitchen Co.,wholesale,5039,55
2024-11,Northline Mercantile (2 doors),wholesale,5543,60
2024-11,Fogtown General,wholesale,3481,38
2024-11,Wholesale — other doors,wholesale,39397,428
2024-11,DTC (aggregate),dtc,192587,1301
2024-11,Marketplace,marketplace,14457,103
2024-12,Hearth & Hand Provisions (3 doors),wholesale,6370,69
2024-12,Copper Birch Kitchen Co.,wholesale,5302,58
2024-12,Northline Mercantile (2 doors),wholesale,4538,49
2024-12,Fogtown General,wholesale,4077,44
2024-12,Wholesale — other doors,wholesale,40676,442
2024-12,DTC (aggregate),dtc,208742,1410
2024-12,Marketplace,marketplace,13631,97
2025-01,Hearth & Hand Provisions (3 doors),wholesale,2983,32
2025-01,Copper Birch Kitchen Co.,wholesale,2321,25
2025-01,Northline Mercantile (2 doors),wholesale,2340,25
2025-01,The Larder & Co.,wholesale,1734,19
2025-01,Fogtown General,wholesale,1599,17
2025-01,Wholesale — other doors,wholesale,18584,202
2025-01,DTC (aggregate),dtc,91451,618
2025-01,Marketplace,marketplace,5610,40
2025-02,Hearth & Hand Provisions (3 doors),wholesale,4264,46
2025-02,Copper Birch Kitchen Co.,wholesale,2429,26
2025-02,Northline Mercantile (2 doors),wholesale,2640,29
2025-02,The Larder & Co.,wholesale,2363,26
2025-02,Fogtown General,wholesale,2011,22
2025-02,Wholesale — other doors,wholesale,17530,191
2025-02,DTC (aggregate),dtc,98729,667
2025-02,Marketplace,marketplace,6923,49
2025-03,Hearth & Hand Provisions (3 doors),wholesale,4330,47
2025-03,Copper Birch Kitchen Co.,wholesale,3765,41
2025-03,Northline Mercantile (2 doors),wholesale,2941,32
2025-03,The Larder & Co.,wholesale,2320,25
2025-03,Fogtown General,wholesale,1915,21
2025-03,Camp & Pantry (4 doors),wholesale,3617,39
2025-03,Wholesale — other doors,wholesale,19500,212
2025-03,DTC (aggregate),dtc,119234,806
2025-03,Marketplace,marketplace,7122,51
2025-04,Hearth & Hand Provisions (3 doors),wholesale,4334,47
2025-04,Copper Birch Kitchen Co.,wholesale,2735,30
2025-04,Northline Mercantile (2 doors),wholesale,2166,24
2025-04,The Larder & Co.,wholesale,2278,25
2025-04,Fogtown General,wholesale,2060,22
2025-04,Camp & Pantry (4 doors),wholesale,2985,32
2025-04,Wholesale — other doors,wholesale,15718,171
2025-04,DTC (aggregate),dtc,117057,791
2025-04,Marketplace,marketplace,8437,60
2025-05,Hearth & Hand Provisions (3 doors),wholesale,4945,54
2025-05,Copper Birch Kitchen Co.,wholesale,3001,33
2025-05,Northline Mercantile (2 doors),wholesale,3506,38
2025-05,The Larder & Co.,wholesale,2272,25
2025-05,Fogtown General,wholesale,2328,25
2025-05,Camp & Pantry (4 doors),wholesale,4047,44
2025-05,Juniper Home,wholesale,2080,23
2025-05,Wholesale — other doors,wholesale,16348,178
2025-05,DTC (aggregate),dtc,121293,820
2025-05,Marketplace,marketplace,8408,60
2025-06,Hearth & Hand Provisions (3 doors),wholesale,4718,51
2025-06,Copper Birch Kitchen Co.,wholesale,3233,35
2025-06,Northline Mercantile (2 doors),wholesale,2936,32
2025-06,The Larder & Co.,wholesale,2459,27
2025-06,Fogtown General,wholesale,2248,24
2025-06,Camp & Pantry (4 doors),wholesale,3017,33
2025-06,Juniper Home,wholesale,2135,23
2025-06,Wholesale — other doors,wholesale,21390,232
2025-06,DTC (aggregate),dtc,118261,799
2025-06,Marketplace,marketplace,9210,65
2025-07,Hearth & Hand Provisions (3 doors),wholesale,3964,43
2025-07,Copper Birch Kitchen Co.,wholesale,3112,34
2025-07,Northline Mercantile (2 doors),wholesale,2095,23
2025-07,The Larder & Co.,wholesale,2150,23
2025-07,Fogtown General,wholesale,1471,16
2025-07,Camp & Pantry (4 doors),wholesale,2259,25
2025-07,Juniper Home,wholesale,1228,13
2025-07,Wholesale — other doors,wholesale,15016,163
2025-07,DTC (aggregate),dtc,105986,716
2025-07,Marketplace,marketplace,7544,54
2025-08,Hearth & Hand Provisions (3 doors),wholesale,3320,36
2025-08,Copper Birch Kitchen Co.,wholesale,3022,33
2025-08,Northline Mercantile (2 doors),wholesale,2765,30
2025-08,The Larder & Co.,wholesale,2302,25
2025-08,Fogtown General,wholesale,2418,26
2025-08,Camp & Pantry (4 doors),wholesale,2840,31
2025-08,Juniper Home,wholesale,1846,20
2025-08,Stonepath Outfitters,wholesale,1760,19
2025-08,Wholesale — other doors,wholesale,14850,161
2025-08,DTC (aggregate),dtc,120556,815
2025-08,Marketplace,marketplace,7356,52
2025-09,Hearth & Hand Provisions (3 doors),wholesale,4567,50
2025-09,Copper Birch Kitchen Co.,wholesale,3765,41
2025-09,Northline Mercantile (2 doors),wholesale,3484,38
2025-09,The Larder & Co.,wholesale,2410,26
2025-09,Fogtown General,wholesale,2531,28
2025-09,Camp & Pantry (4 doors),wholesale,4107,45
2025-09,Juniper Home,wholesale,2099,23
2025-09,Stonepath Outfitters,wholesale,2053,22
2025-09,Wholesale — other doors,wholesale,15624,170
2025-09,DTC (aggregate),dtc,127510,862
2025-09,Marketplace,marketplace,9412,67
2025-10,Hearth & Hand Provisions (3 doors),wholesale,5292,58
2025-10,Copper Birch Kitchen Co.,wholesale,4411,48
2025-10,Northline Mercantile (2 doors),wholesale,4151,45
2025-10,The Larder & Co.,wholesale,2424,26
2025-10,Fogtown General,wholesale,2541,28
2025-10,Camp & Pantry (4 doors),wholesale,4281,47
2025-10,Juniper Home,wholesale,1949,21
2025-10,Stonepath Outfitters,wholesale,1738,19
2025-10,Milltown Kitchen Supply,wholesale,2108,23
2025-10,Wholesale — other doors,wholesale,17594,191
2025-10,DTC (aggregate),dtc,148049,1000
2025-10,Marketplace,marketplace,10896,77
2025-11,Hearth & Hand Provisions (3 doors),wholesale,8663,94
2025-11,Copper Birch Kitchen Co.,wholesale,6954,76
2025-11,Northline Mercantile (2 doors),wholesale,7584,82
2025-11,The Larder & Co.,wholesale,5254,57
2025-11,Fogtown General,wholesale,4485,49
2025-11,Camp & Pantry (4 doors),wholesale,8096,88
2025-11,Juniper Home,wholesale,4437,48
2025-11,Stonepath Outfitters,wholesale,4684,51
2025-11,Milltown Kitchen Supply,wholesale,4409,48
2025-11,Wholesale — other doors,wholesale,35115,382
2025-11,DTC (aggregate),dtc,280061,1892
2025-11,Marketplace,marketplace,18499,131
2025-12,Hearth & Hand Provisions (3 doors),wholesale,11090,121
2025-12,Copper Birch Kitchen Co.,wholesale,6935,75
2025-12,Northline Mercantile (2 doors),wholesale,7689,84
2025-12,The Larder & Co.,wholesale,5716,62
2025-12,Fogtown General,wholesale,4992,54
2025-12,Camp & Pantry (4 doors),wholesale,8504,92
2025-12,Juniper Home,wholesale,4512,49
2025-12,Stonepath Outfitters,wholesale,4336,47
2025-12,Milltown Kitchen Supply,wholesale,3633,39
2025-12,Wholesale — other doors,wholesale,31746,345
2025-12,DTC (aggregate),dtc,240129,1622
2025-12,Marketplace,marketplace,18498,131
2026-01,Hearth & Hand Provisions (3 doors),wholesale,3850,42
2026-01,Copper Birch Kitchen Co.,wholesale,3201,35
2026-01,Northline Mercantile (2 doors),wholesale,3073,33
2026-01,The Larder & Co.,wholesale,2213,24
2026-01,Fogtown General,wholesale,2443,27
