month,revenue_fees,payroll_loaded,contractors,direct_project_costs,facilities,software_tools,sales_marketing,admin_other,total_costs,ebitda,ebitda_margin_pct,cash_balance_eom
2024-08,364511,227070,21000,9300,20800,11200,25000,24500,338870,25641,7.0,325077
2024-09,448195,233740,15500,9400,20800,11280,35000,25500,351220,96975,21.6,404354
2024-10,428216,240700,21000,8700,20800,11360,24000,25500,352060,76156,17.8,399895
2024-11,404442,247177,18500,9700,20800,11440,24000,25500,357117,47325,11.7,434488
2024-12,335070,254910,23500,8300,20800,11520,25000,27000,371030,-35960,-10.7,394124
2025-01,315234,263948,22500,8800,21900,11600,25000,24500,378248,-63014,-20.0,270905
2025-02,377321,263948,24000,9600,21900,11680,35000,25500,391628,-14307,-3.8,246028
2025-03,394381,263948,21500,9300,21900,11760,24000,24500,376908,17473,4.4,249754
2025-04,410534,263948,22500,9000,21900,11840,25000,30500,384688,25846,6.3,229015
2025-05,465161,263948,26500,8300,21900,11920,24000,25500,382068,83093,17.9,315798
2025-06,343370,272165,22000,9100,21900,12000,26000,24500,387665,-44295,-12.9,168538
2025-07,481924,280962,25500,8600,21900,12080,25000,25500,399542,82382,17.1,230682
2025-08,445717,280962,26000,7900,21900,12160,25000,25500,399422,46295,10.4,260347
2025-09,522465,280962,24500,9700,21900,12240,33000,27000,409302,113163,21.7,291567
2025-10,543194,280962,22500,9100,21900,12320,24000,25500,396282,146912,27.0,411789
2025-11,417299,269748,24000,9200,21900,12400,25000,27000,389248,28051,6.7,425034
2025-12,344731,269748,27500,9400,21900,12480,25000,27000,393028,-48297,-14.0,369567
2026-01,389108,279270,20000,8500,22600,12560,25000,27000,394930,-5822,-1.5,231861
2026-02,400218,279270,21500,9100,22600,12640,33000,25500,403610,-3392,-0.8,216808
2026-03,480343,287583,20500,9100,22600,12720,26000,27000,405503,74840,15.6,357164
2026-04,454346,287583,20500,9100,22600,12800,24000,31500,408083,46263,10.2,368425
2026-05,452538,287583,18500,9500,22600,12880,26000,27000,404063,48475,10.7,400052
2026-06,448772,287583,26500,9200,22600,12960,25000,25500,409343,39429,8.8,376056
2026-07,423729,287583,20000,8300,22600,13040,26000,25500,403023,20706,4.9,382691
2026-08,383257,287583,23500,8900,22600,13120,25000,27000,407703,-24446,-6.4,348689
2026-09,507039,287583,26500,8800,22600,13200,34000,27000,419683,87356,17.2,375316
2026-10,555371,287583,23500,9000,22600,13280,24000,25500,405463,149908,27.0,520233
2026-11,374321,294833,31500,8800,22600,13360,25000,24500,420593,-46272,-12.4,466588
2026-12,323830,294833,23500,9100,22600,13440,24000,24500,411973,-88143,-27.2,329259
2027-01,363561,303582,25500,8700,22600,13520,26000,27000,426902,-63341,-17.4,285915
2027-02,405700,303582,22000,9700,22600,13600,35000,27000,433482,-27782,-6.8,248911
