month,channel,line,signed_new_business_usd
2024-08,referral,digital,80000
2024-08,existing_client_expansion,digital,25000
2024-08,inbound,digital,12000
2024-08,partner,,0
2024-08,outbound,content,9000
2024-09,referral,digital,55000
2024-09,existing_client_expansion,digital,25000
2024-09,inbound,digital,25000
2024-09,partner,,0
2024-09,outbound,content,9000
2024-10,referral,,0
2024-10,existing_client_expansion,digital,45000
2024-10,inbound,digital,25000
2024-10,partner,digital,18000
2024-10,outbound,,0
2024-11,referral,,0
2024-11,existing_client_expansion,content,60000
2024-11,inbound,content,25000
2024-11,partner,digital,18000
2024-11,outbound,,0
2024-12,referral,brand,30000
2024-12,existing_client_expansion,brand,60000
2024-12,inbound,digital,25000
2024-12,partner,,0
2024-12,outbound,,0
2025-01,referral,brand,80000
2025-01,existing_client_expansion,,0
2025-01,inbound,,0
2025-01,partner,,0
2025-01,outbound,,0
2025-02,referral,brand,55000
2025-02,existing_client_expansion,digital,60000
2025-02,inbound,,0
2025-02,partner,,0
2025-02,outbound,,0
2025-03,referral,,0
2025-03,existing_client_expansion,,0
2025-03,inbound,,0
2025-03,partner,,0
2025-03,outbound,,0
2025-04,referral,digital,80000
2025-04,existing_client_expansion,digital,60000
2025-04,inbound,digital,12000
2025-04,partner,,0
2025-04,outbound,,0
2025-05,referral,brand,80000
2025-05,existing_client_expansion,brand,60000
2025-05,inbound,brand,25000
2025-05,partner,,0
2025-05,outbound,digital,9000
2025-06,referral,brand,80000
2025-06,existing_client_expansion,digital,60000
2025-06,inbound,,0
2025-06,partner,,0
2025-06,outbound,,0
2025-06,referral,brand,610000
2025-07,referral,digital,30000
2025-07,existing_client_expansion,content,60000
2025-07,inbound,,0
2025-07,partner,,0
2025-07,outbound,,0
2025-08,referral,brand,55000
2025-08,existing_client_expansion,content,25000
2025-08,inbound,digital,25000
2025-08,partner,,0
2025-08,outbound,,0
2025-09,referral,strategy,80000
2025-09,existing_client_expansion,content,45000
2025-09,inbound,content,12000
2025-09,partner,,0
2025-09,outbound,digital,9000
2025-10,referral,brand,30000
2025-10,existing_client_expansion,strategy,25000
2025-10,inbound,,0
2025-10,partner,,0
2025-10,outbound,,0
2025-10,referral,cmo,300000
2025-11,referral,digital,80000
2025-11,existing_client_expansion,digital,45000
2025-11,inbound,,0
2025-11,partner,brand,18000
2025-11,outbound,,0
2025-12,referral,digital,55000
2025-12,existing_client_expansion,digital,25000
2025-12,inbound,,0
2025-12,partner,digital,18000
2025-12,outbound,,0
2026-01,referral,digital,80000
2026-01,existing_client_expansion,digital,45000
2026-01,inbound,content,12000
2026-01,partner,,0
2026-01,outbound,content,9000
2026-02,referral,digital,30000
2026-02,existing_client_expansion,strategy,45000
2026-02,inbound,content,25000
2026-02,partner,,0
2026-02,outbound,,0
2026-02,inbound,cmo,200000
2026-03,referral,digital,55000
2026-03,existing_client_expansion,digital,25000
2026-03,inbound,,0
2026-03,partner,,0
2026-03,outbound,,0
2026-04,referral,digital,55000
2026-04,existing_client_expansion,content,45000
2026-04,inbound,content,25000
2026-04,partner,digital,18000
2026-04,outbound,,0
2026-05,referral,brand,80000
2026-05,existing_client_expansion,digital,45000
2026-05,inbound,,0
2026-05,partner,,0
2026-05,outbound,,0
2026-06,referral,brand,80000
2026-06,existing_client_expansion,content,45000
2026-06,inbound,content,12000
2026-06,partner,,0
2026-06,outbound,,0
2026-07,referral,digital,30000
2026-07,existing_client_expansion,content,45000
2026-07,inbound,content,12000
2026-07,partner,digital,18000
2026-07,outbound,,0
2026-08,referral,digital,80000
2026-08,existing_client_expansion,brand,25000
2026-08,inbound,,0
2026-08,partner,digital,18000
2026-08,outbound,,0
2026-09,referral,brand,18000
2026-09,existing_client_expansion,content,15000
2026-09,inbound,content,7200
2026-09,partner,,0
2026-09,outbound,content,5400
2026-10,referral,brand,33000
2026-10,existing_client_expansion,content,27000
2026-10,inbound,,0
2026-10,partner,,0
2026-10,outbound,,0
2026-11,referral,strategy,48000
2026-11,existing_client_expansion,content,15000
2026-11,inbound,digital,15000
2026-11,partner,,0
2026-11,outbound,,0
2026-12,referral,brand,33000
2026-12,existing_client_expansion,digital,27000
2026-12,inbound,,0
2026-12,partner,,0
2026-12,outbound,,0
2026-12,referral,content,78000
2027-01,referral,brand,18000
2027-01,existing_client_expansion,,0
2027-01,inbound,,0
2027-01,partner,,0
2027-01,outbound,,0
2027-02,referral,,0
2027-02,existing_client_expansion,digital,15000
2027-02,inbound,content,15000
2027-02,partner,brand,10800
2027-02,outbound,,0
