id,place,city,area,category,price,verdict,visited,why,who_vetoes,in_catalog,verified
L-01,Longman & Eagle,Chicago,Logan Square,gastropub,$$,love,yes,"the group's actual place: a big table, burgers, whiskey, everyone can pay, Elliot has a coke; every birthday since 2020",—,unknown,—
L-02,Rainbo Club,Chicago,Ukrainian Village,dive bar,$,love,yes,"where the five of us always end up; booths, cheap beer, photobooth; nobody has ever vetoed it",—,unknown,—
L-03,Kumiko,Chicago,West Loop,cocktail bar,$$$,no,yes,"the spot I name first — quiet, precise, the drinks are art; a date place; Nate can't and Elliot would sit there with a soda watching us drink $22 cocktails",Nate,unknown,—
L-04,Kasama,Chicago,Ukrainian Village,Filipino restaurant and bakery,$$,like,yes,"daytime it's my favourite brag; the guys came once for pastries and liked it; the tasting menu is a me-and-a-date thing, not a group thing",—,unknown,—
L-05,Girl & the Goat,Chicago,West Loop,restaurant,$$$,no,yes,"I take out-of-town dates; loud, shareable, cool — Danny and Nate flinch at the bill and Rafi ends up with three sides",Danny,unknown,—
L-06,Lula Cafe,Chicago,Logan Square,café and restaurant,$$,like,yes,"the hungover Sunday place; Rafi's happy, nobody's broke after; I'd never name it as a spot I love, and it is one",—,unknown,—
L-07,Green Mill Cocktail Lounge,Chicago,Uptown,jazz club,$$,like,yes,"a proper night the group has actually done: cover, a booth, a set; Elliot loved it stone sober — the shape of what works",—,unknown,—
L-08,Founders Brewing Co.,Grand Rapids,Downtown Grand Rapids,brewery,$,like,yes,"home; where I took the guys the one time they came up; a big table and pints — the group's shape before I moved to Chicago and started caring about scenes",—,unknown,—
L-09,Zeitgeist,San Francisco,Mission,beer garden,$,love,yes,"the 2022 work trip: long tables outside, pitchers, everyone can afford it — I remember thinking 'the guys would love this'; that's the tell",—,unknown,—
L-10,Trick Dog,San Francisco,Mission,cocktail bar,$$,like,yes,"cool without being precious; a group could do it for one round; Elliot fine with a soda for an hour, not three",—,unknown,—
L-11,Tartine Manufactory,San Francisco,Mission,bakery and restaurant,$$,fine,yes,"a nice lunch alone on the work trip; nobody would fly to LA for a version of it",—,unknown,—
L-12,Bestia,Los Angeles,Arts District,Italian restaurant,$$$,no,yes,"my LA dinner from 2023 — the room, the noise, the bone marrow, I still tell people; love solo; $100+ a head with drinks is a no from Danny and a can't from Nate; Rafi picks at pasta",Danny,unknown,—
L-13,Gjelina,Los Angeles,Venice,restaurant,$$$,no,no,"the Venice place I've had saved for years; the price and forty-five minutes each way in two Ubers — Nate said 'absolutely not' about Venice before I even named it",Nate,unknown,—
L-14,Death & Co Los Angeles,Los Angeles,Arts District,cocktail bar,$$$,no,no,"the bar I want to have been to; $20 cocktails and a low dark room where the whole point is the drink — Nate can't and Elliot would spend the night pretending",Elliot,unknown,—
L-15,Guelaguetza,Los Angeles,Koreatown,Oaxacan restaurant,$$,love,yes,"went with my cousin in 2019 — a huge bright room, mole, a big table, live music some nights; everyone can pay, Rafi eats well, Elliot has a horchata; the actual group dinner",—,unknown,—
L-16,Pine & Crane,Los Angeles,Silver Lake,Taiwanese restaurant,$$,love,no,"ten minutes from the house on foot, cheap, shareable, half the menu is vegetables; not cool enough for me to name — exactly what the five of us would love",—,unknown,—
L-17,Night + Market Song,Los Angeles,Silver Lake,Thai restaurant,$$,love,no,"loud, pink, cheap, walkable, spicy enough that Danny would suffer happily; the one place where 'cool' and 'the group can afford it' agree",—,unknown,—
L-18,Salazar,Los Angeles,Frogtown,Sonoran grill and bar,$$,love,no,"a big outdoor patio, tacos, a short ride from the house; margaritas for us, aguas frescas for Elliot, veg for Rafi; a Saturday-afternoon-into-evening kind of place",—,unknown,—
L-19,Botanica,Los Angeles,Silver Lake,restaurant and market,$$,like,no,"vegetable-forward brunch on a patio, walkable; Rafi's pick if he had one; the guys would call it 'a salad place' and eat all of it",—,unknown,—
L-20,Sqirl,Los Angeles,Virgil Village,café,$$,like,no,"the LA café I'd post; a wait in the morning and toast for $12 — a fine breakfast for three of us while the others sleep",—,unknown,—
L-21,Grand Central Market,Los Angeles,Downtown,food hall,$,like,yes,"easy daytime, five people five lunches, nobody has to agree; standing and crowds are fine for a group in daylight",—,unknown,—
L-22,Dodger Stadium,Los Angeles,Elysian Park,ballpark,$$,love,no,"if there's a home game that weekend it's the whole group's ideal night: cheap seats, beers, a Dodger Dog, Elliot completely happy; I think it's basic and I'm wrong",—,unknown,—
L-23,Griffith Observatory,Los Angeles,Los Feliz,observatory and hike,free,like,no,"the touristy thing Danny actually asked for in the chat; a hike up, the view, free; I'd skip it and the four of them would go without me",—,unknown,—
L-24,Kang Ho-dong Baekjeong,Los Angeles,Koreatown,Korean barbecue,$$,like,no,"loud, fun, meat, soju — a Friday-night thing for the four of us before Rafi lands; a bad Saturday dinner once he's here",—,unknown,—
L-25,The Prince,Los Angeles,Koreatown,Korean bar and restaurant,$$,like,no,"red booths, fried chicken, cheap beer, big group, nobody cares if you're drinking soda; the kind of bar Danny means when he says 'a bar'",—,unknown,—
L-26,Frolic Room,Los Angeles,Hollywood,dive bar,$,like,no,"iconic and cheap; a stop, not a night; Elliot fine, Nate fine, I get to say we went",—,unknown,—
L-27,The Dresden Room,Los Angeles,Los Feliz,bar and lounge,$$,like,no,"kitsch, booths, a lounge act, a short ride from the house; Danny would love it unironically and I'd love it ironically and that's a good night",—,unknown,—
L-28,Tiki-Ti,Los Angeles,Los Feliz,tiki bar,$$,fine,no,"a tiny famous room; five of us is a squeeze and Elliot standing in a tiki bar with a soda is not it; one drink if we're passing",Elliot,unknown,—
L-29,Thirsty Crow,Los Angeles,Silver Lake,whiskey bar,$$,like,no,"walkable neighbourhood bar; whiskey for Danny, happy hour for Nate; a first-night place after the flight",—,unknown,—
L-30,Bar Flores,Los Angeles,Echo Park,cocktail bar,$$,like,no,"a patio bar, cool, one short ride; my kind of place that the group would still tolerate for a round; not the whole night",—,unknown,—
L-31,Zebulon,Los Angeles,Frogtown,music venue and bar,$$,like,no,"a show with a big patio; a cover charge everyone can pay; Elliot loves music sober; my cool pick that isn't a trap",—,unknown,—
L-32,Musso & Frank Grill,Los Angeles,Hollywood,steakhouse,$$$,no,no,"the bachelor-weekend steakhouse I picture; martinis and red booths; $$$ is a Danny no and a Nate can't, and Rafi orders a salad and a side",Danny,unknown,—
L-33,Dan Tana's,Los Angeles,West Hollywood,Italian restaurant,$$$$,never,no,"the West Hollywood scene I read about; the bill, the ride, the wait — three vetoes before anyone speaks",Nate,unknown,—
L-34,Chateau Marmont,Los Angeles,West Hollywood,hotel bar and restaurant,$$$$,never,no,"the fantasy: drinks at the Chateau; a $$$$ hotel bar across town for a group with two people watching every dollar — I know, and I still saved it",Danny,unknown,—
L-35,Venice Beach boardwalk and Abbot Kinney,Los Angeles,Venice,beach walk and shopping street,free,no,no,"free, iconic, and forty-five minutes each way in two cars; Nate's exact sentence was 'nobody wants an hour and a half in an Uber'",Nate,unknown,—
L-36,Langer's Delicatessen,Los Angeles,Westlake,deli,$$,like,no,"a Saturday lunch idea; pastrami for four and a grilled cheese for Rafi; a short ride; nobody argues with a deli",—,unknown,—
L-37,Republique,Los Angeles,La Brea,restaurant and bakery,$$$,fine,no,"a beautiful brunch room I'd go to alone; $$$ for eggs is a Nate no; not this weekend",Nate,unknown,—
L-38,Erewhon Silver Lake,Los Angeles,Silver Lake,grocery and smoothie bar,$$$,fine,no,"the $20 smoothie I'd buy on the walk back and be roasted for in the chat for a year",—,unknown,—
