month,channel,orders,revenue_usd
2024-08,dtc,735,108707
2024-08,wholesale,5,31004
2024-08,marketplace,52,7269
2024-09,dtc,837,123861
2024-09,wholesale,5,36503
2024-09,marketplace,55,7791
2024-10,dtc,910,134685
2024-10,wholesale,5,33752
2024-10,marketplace,72,10171
2024-11,dtc,1301,192587
2024-11,wholesale,5,61775
2024-11,marketplace,103,14457
2024-12,dtc,1410,208742
2024-12,wholesale,5,60963
2024-12,marketplace,97,13631
2025-01,dtc,618,91451
2025-01,wholesale,6,29561
2025-01,marketplace,40,5610
2025-02,dtc,667,98729
2025-02,wholesale,6,31237
2025-02,marketplace,49,6923
2025-03,dtc,806,119234
2025-03,wholesale,7,38388
2025-03,marketplace,51,7122
2025-04,dtc,791,117057
2025-04,wholesale,7,32276
2025-04,marketplace,60,8437
2025-05,dtc,820,121293
2025-05,wholesale,8,38527
2025-05,marketplace,60,8408
2025-06,dtc,799,118261
2025-06,wholesale,8,42136
2025-06,marketplace,65,9210
2025-07,dtc,716,105986
2025-07,wholesale,8,31295
2025-07,marketplace,54,7544
2025-08,dtc,815,120556
2025-08,wholesale,9,35123
2025-08,marketplace,52,7356
2025-09,dtc,862,127510
2025-09,wholesale,9,40640
2025-09,marketplace,67,9412
2025-10,dtc,1000,148049
2025-10,wholesale,10,46489
2025-10,marketplace,77,10896
2025-11,dtc,1892,280061
2025-11,wholesale,10,89681
2025-11,marketplace,131,18499
2025-12,dtc,1622,240129
2025-12,wholesale,10,89153
2025-12,marketplace,131,18498
2026-01,dtc,642,95036
2026-01,wholesale,11,37248
2026-01,marketplace,54,7575
2026-02,dtc,697,103112
2026-02,wholesale,11,41731
2026-02,marketplace,51,7124
2026-03,dtc,1273,188389
2026-03,wholesale,12,78250
2026-03,marketplace,100,14085
2026-04,dtc,1103,163312
2026-04,wholesale,12,55068
2026-04,marketplace,80,11256
2026-05,dtc,921,136240
2026-05,wholesale,13,54769
2026-05,marketplace,61,8629
2026-06,dtc,866,128217
2026-06,wholesale,13,46327
2026-06,marketplace,56,7946
2026-07,dtc,735,108840
2026-07,wholesale,13,40207
2026-07,marketplace,52,7348
2026-08,dtc,791,117034
2026-08,wholesale,13,53056
2026-08,marketplace,62,8680
2026-09,dtc,839,124218
2026-09,wholesale,13,51845
2026-09,marketplace,75,10583
2026-10,dtc,980,145108
2026-10,wholesale,13,62886
2026-10,marketplace,81,11489
2026-11,dtc,1495,221240
2026-11,wholesale,13,87215
2026-11,marketplace,110,15443
2026-12,dtc,1574,233018
2026-12,wholesale,13,88121
2026-12,marketplace,111,15691
2027-01,dtc,661,97886
2027-01,wholesale,13,44634
2027-01,marketplace,61,8592
2027-02,dtc,711,105255
2027-02,wholesale,13,42455
2027-02,marketplace,49,6973
