month,revenue_net,cogs,fulfillment_shipping,marketing,payroll_loaded,seasonal_labor,overhead_other,total_costs,ebitda,ebitda_margin_pct,inventory_purchases,inventory_balance_eom,cash_balance_eom
2024-08,146980,58120,12690,20551,39045,0,14700,145106,1874,1.3,63061,339941,48933
2024-09,168155,66610,14487,17388,39045,0,14762,152292,15863,9.4,117167,390498,14239
2024-10,178608,69902,15573,30177,44460,5000,15324,180436,-1828,-1.0,61742,382338,20571
2024-11,268819,107232,22669,40848,44460,10000,14886,240095,28724,10.7,63359,338465,183168
2024-12,283336,112197,24389,30393,44460,10000,14448,235887,47449,16.7,63870,290138,278944
2025-01,126622,50557,10775,18701,46236,0,15010,141279,-14657,-11.6,67790,307371,247054
2025-02,136889,54434,11609,20939,51965,0,15072,154019,-17130,-12.5,61506,314443,222852
2025-03,164744,65640,14048,21203,58292,0,14634,173817,-9073,-5.5,93736,342539,185683
2025-04,157770,62042,13624,22503,58292,0,15196,171657,-13887,-8.8,66523,347020,167315
2025-05,168228,67034,14276,22548,58292,0,14758,176908,-8680,-5.2,72707,352693,152962
2025-06,169607,68250,14048,21865,58292,0,15820,178275,-8668,-5.1,67007,351450,145537
2025-07,144825,57451,12395,22491,58292,0,14882,165511,-20686,-14.3,67988,361987,114314
2025-08,163035,64456,14094,21627,58292,0,14944,173413,-10378,-6.4,112465,409996,55927
2025-09,177562,70837,15011,24245,58292,0,16006,184391,-6829,-3.8,100789,439948,33146
2025-10,205434,81707,17395,35070,58292,5000,15568,213032,-7598,-3.7,71822,430063,9433
2025-11,388241,154750,32962,43391,58292,10000,15630,315025,73216,18.9,91645,366958,145754
2025-12,347780,140768,28627,30631,58292,10000,16192,284510,63270,18.2,62011,288201,231781
2026-01,139859,56773,11389,24257,60325,0,16254,168998,-29139,-20.8,64477,295905,213938
2026-02,151967,61938,12404,24959,60325,0,16316,175942,-23975,-15.8,64392,298359,167509
2026-03,280724,114712,22716,21973,60325,0,15378,235104,45620,16.3,119916,303563,207925
2026-04,229636,92125,19300,26141,60325,0,16440,214331,15305,6.7,66894,278332,248461
2026-05,199638,81184,16379,23607,60325,0,15502,196997,2641,1.3,74740,271888,257546
2026-06,182490,73666,15246,27333,60325,0,15564,192134,-9644,-5.3,73297,271519,210271
2026-07,156395,63199,12966,25670,60325,0,16626,178786,-22391,-14.3,115941,324261,145138
2026-08,178770,73603,14248,24369,60325,0,16188,188733,-9963,-5.6,124036,374694,84742
2026-09,186646,76156,14979,24984,60325,0,16250,192694,-6048,-3.2,159077,457615,7773
2026-10,219483,90058,17567,22434,60325,5000,16312,211696,7787,3.5,95541,463098,44077
2026-11,323898,131759,26536,42345,60325,10000,16874,287839,36059,11.1,146475,477814,65420
2026-12,336830,136641,27828,37994,60325,10000,15936,288724,48106,14.3,70019,411192,134148
2027-01,151112,62112,11915,29211,62130,0,16998,182366,-31254,-20.7,119124,468204,75882
2027-02,154683,62973,12650,27097,62130,0,16560,181410,-26727,-17.3,69652,474883,8476
