month,line,revenue_usd,landed_cogs_usd,direct_costs_usd
2024-08,skillets,86463,33773,1038
2024-08,dutch_ovens,25665,10884,308
2024-08,griddles_other,12387,5115,149
2024-08,care_accessories,15058,5041,181
2024-08,sets,7407,3307,89
2024-09,skillets,99650,39042,1196
2024-09,dutch_ovens,29019,12344,348
2024-09,griddles_other,13833,5729,166
2024-09,care_accessories,17787,5973,213
2024-09,sets,7866,3522,94
2024-10,skillets,100512,38836,1206
2024-10,dutch_ovens,32384,13585,389
2024-10,griddles_other,17493,7145,210
2024-10,care_accessories,19248,6375,231
2024-10,sets,8971,3961,108
2024-11,skillets,155967,61488,1872
2024-11,dutch_ovens,46892,20071,563
2024-11,griddles_other,24730,10307,297
2024-11,care_accessories,28500,9631,342
2024-11,sets,12730,5736,153
2024-12,skillets,164931,64557,1979
2024-12,dutch_ovens,48211,20488,579
2024-12,griddles_other,27058,11196,325
2024-12,care_accessories,29869,10021,358
2024-12,sets,13267,5935,159
2025-01,skillets,74060,29249,889
2025-01,dutch_ovens,21064,9032,253
2025-01,griddles_other,11176,4666,134
2025-01,care_accessories,13856,4691,166
2025-01,sets,6466,2918,78
2025-02,skillets,81277,32017,975
2025-02,dutch_ovens,21100,9024,253
2025-02,griddles_other,12239,5097,147
2025-02,care_accessories,15386,5195,185
2025-02,sets,6887,3101,83
2025-03,skillets,98333,38827,1180
2025-03,dutch_ovens,26678,11437,320
2025-03,griddles_other,13782,5753,165
2025-03,care_accessories,18509,6264,222
2025-03,sets,7442,3358,89
2025-04,skillets,93691,36481,1124
2025-04,dutch_ovens,26281,11110,315
2025-04,griddles_other,13392,5513,161
2025-04,care_accessories,17286,5769,207
2025-04,sets,7120,3168,85
2025-05,skillets,97600,38463,1171
2025-05,dutch_ovens,29272,12524,351
2025-05,griddles_other,14881,6199,179
2025-05,care_accessories,18442,6229,221
2025-05,sets,8033,3618,96
2025-06,skillets,97939,38962,1175
2025-06,dutch_ovens,30447,13151,365
2025-06,griddles_other,13989,5883,168
2025-06,care_accessories,18719,6383,225
2025-06,sets,8513,3870,102
2025-07,skillets,82844,32441,994
2025-07,dutch_ovens,26661,11335,320
2025-07,griddles_other,12431,5146,149
2025-07,care_accessories,15336,5148,184
2025-07,sets,7553,3380,91
2025-08,skillets,97463,38154,1170
2025-08,dutch_ovens,26417,11228,317
2025-08,griddles_other,13748,5689,165
2025-08,care_accessories,17725,5948,213
2025-08,sets,7682,3437,92
2025-09,skillets,104026,40992,1248
2025-09,dutch_ovens,30635,13107,368
2025-09,griddles_other,16692,6953,200
2025-09,care_accessories,17931,6056,215
2025-09,sets,8278,3728,99
2025-10,skillets,113582,44702,1363
2025-10,dutch_ovens,37224,15906,447
2025-10,griddles_other,20023,8331,240
2025-10,care_accessories,24862,8387,298
2025-10,sets,9743,4382,117
2025-11,skillets,232526,91724,2790
2025-11,dutch_ovens,61705,26427,740
2025-11,griddles_other,35589,14841,427
2025-11,care_accessories,40624,13736,487
2025-11,sets,17797,8023,214
2025-12,skillets,194319,77601,2332
2025-12,dutch_ovens,62901,27272,755
2025-12,griddles_other,34455,14546,413
2025-12,care_accessories,37312,12772,448
2025-12,sets,18793,8577,226
2026-01,skillets,82498,33104,990
2026-01,dutch_ovens,23603,10283,283
2026-01,griddles_other,12904,5474,155
2026-01,care_accessories,14400,4953,173
2026-01,sets,6454,2960,77
2026-02,skillets,89604,36098,1075
2026-02,dutch_ovens,25134,10993,302
2026-02,griddles_other,13039,5553,156
2026-02,care_accessories,16018,5531,192
2026-02,sets,8172,3762,98
2026-03,skillets,156544,63190,1879
2026-03,dutch_ovens,52071,22821,625
