as_of,opportunity,channel,stage,value_usd,probability,age_days,days_since_last_activity,expected_start,notes
2026-08-11,National kitchen retailer — 46-door test order,wholesale,buyer-meeting,210000,0.3,62,18,2027-02,"meeting June 24 + warm follow-up email late July; no PO, no terms discussed"
2026-08-11,Camp & Pantry expansion to 9 doors,wholesale,verbal,54000,0.55,34,9,2026-10,"existing chain, real velocity data"
2026-08-11,Corporate gifting — fintech holiday order,dtc,proposal,38000,0.4,21,6,2026-11,500 No.8s engraved; margin-rich if run fits
2026-08-11,Museum-store program (2 doors),wholesale,qualified,22000,0.35,40,15,2027-01,
2026-08-11,Specialty grocer endcap pilot,wholesale,discussing,30000,0.25,12,4,2026-11,care kits + No.6
2026-11-11,National kitchen retailer — 46-door test order,wholesale,po-received,240000,0.85,154,3,2027-03,PO LARGER than discussed; net-90; compliance manual is 40 pages
2026-11-11,Camp & Pantry expansion to 9 doors,wholesale,won,54000,1.0,126,0,2026-10,shipped
2026-11-11,Corporate gifting — fintech holiday order,dtc,lost,38000,0.0,113,30,,couldn't commit engraving capacity in Q4 crunch
2027-02-11,National retailer — rollout decision post-test,wholesale,awaiting-sell-through,780000,0.35,246,11,2027-08,test shipped Feb; sell-through report due May
2027-02-11,Museum-store program (2 doors),wholesale,won,22000,1.0,224,0,2027-01,
2027-02-11,Spring wholesale push — 30 new independents,wholesale,campaign,90000,0.4,20,2,2027-05,Tom's list; Stephen calls it 'basically done'
