as_of,opportunity,line,stage,value_usd,probability,age_days,days_since_last_activity,expected_start,notes
2026-08-09,Fernhill Health system rebrand (RFP),brand,proposal,420000,0.35,74,12,2026-11,incumbent also bidding
2026-08-09,Larkspur Beverage Co relaunch,brand,verbal,300000,0.5,63,41,2026-10,CEO said yes in June; no SOW; procurement silent
2026-08-09,Bright Basin Energy replatform,digital,proposal,180000,0.4,38,6,2026-10,
2026-08-09,CSG 'Project Nest' arena content expansion,content,discussing,240000,0.45,29,3,2027-01,would add ~$20K/mo to CSG
2026-08-09,Juniper & Co. packaging system,brand,qualified,90000,0.25,21,9,2026-11,
2026-08-09,Stonebriar Wealth site refresh,digital,qualified,75000,0.3,44,18,2026-12,former client returning
2026-08-09,Old Harbor Seafood identity refresh,brand,qualified,60000,0.3,17,5,2026-11,
2026-08-09,Meridian Robotics launch strategy,strategy,proposal,85000,0.4,26,8,2026-10,needs Matt personally
2026-08-09,Sift Analytics CMO expansion,cmo,discussing,96000,0.3,15,4,2026-09,+$8K/mo; Matt capacity question
2026-08-09,Sable House Goods content retainer,content,qualified,78000,0.4,33,11,2026-11,$6.5K/mo ask; below the February floor
2026-08-09,Alpine Credit web audit,digital,qualified,40000,0.3,12,2,2026-10,
2026-11-09,Larkspur Beverage Co relaunch,brand,verbal,300000,0.3,155,96,2027-02,zombie; nobody has called it
2026-11-09,CSG 'Project Nest' arena content expansion,content,proposal,240000,0.6,121,7,2027-02,
2026-11-09,Bright Basin Energy replatform,digital,won-pending-sow,180000,0.85,130,4,2026-12,start slipped once already
2026-11-09,Halcyon Health Plans brand audit,brand,qualified,65000,0.3,18,6,2027-01,inbound via a talk Priya gave
2026-11-09,Meridian Robotics launch strategy,strategy,lost,85000,0.0,118,30,,went quiet; Matt never sent revised scope
2026-11-09,Juniper & Co. packaging system,brand,qualified,90000,0.25,113,40,2027-01,stalled
2027-02-09,CSG 'Project Nest' arena content expansion,content,paused,240000,0.2,213,31,,paused pending CSG procurement review
2027-02-09,Larkspur Beverage Co relaunch,brand,lost,300000,0.0,247,140,,no formal no; everyone knows
2027-02-09,Halcyon Health Plans brand audit,brand,proposal,65000,0.45,110,9,2027-04,
2027-02-09,Fernhill Health digital follow-on,digital,qualified,120000,0.25,34,12,2027-05,lost the rebrand; door reopened
2027-02-09,Timberline Credit Union refresh,brand,qualified,70000,0.35,27,8,2027-04,
