month,line,revenue_usd,contractor_costs_usd,direct_costs_usd
2024-08,brand,127782,0,3600
2024-08,digital,169266,8000,2200
2024-08,content,22500,13000,2800
2024-08,strategy,44963,0,400
2024-08,cmo,0,0,300
2024-09,brand,164298,0,4000
2024-09,digital,177462,6500,1900
2024-09,content,30000,9000,2800
2024-09,strategy,76435,0,400
2024-09,cmo,0,0,300
2024-10,brand,144035,1500,4000
2024-10,digital,199055,6500,1600
2024-10,content,30000,13000,2400
2024-10,strategy,55126,0,400
2024-10,cmo,0,0,300
2024-11,brand,174684,1500,4000
2024-11,digital,133848,8000,2200
2024-11,content,41000,9000,2800
2024-11,strategy,54910,0,400
2024-11,cmo,0,0,300
2024-12,brand,116044,0,3200
2024-12,digital,126101,12500,1600
2024-12,content,47000,11000,2800
2024-12,strategy,45925,0,400
2024-12,cmo,0,0,300
2025-01,brand,108435,0,3200
2025-01,digital,133219,6500,1600
2025-01,content,41000,16000,3300
2025-01,strategy,32580,0,400
2025-01,cmo,0,0,300
2025-02,brand,133903,1500,4000
2025-02,digital,152085,6500,1600
2025-02,content,49500,16000,3300
2025-02,strategy,41833,0,400
2025-02,cmo,0,0,300
2025-03,brand,148792,3000,3600
2025-03,digital,113316,6500,2200
2025-03,content,49500,12000,2800
2025-03,strategy,50773,0,400
2025-03,cmo,32000,0,300
2025-04,brand,127992,0,4000
2025-04,digital,140562,6500,1900
2025-04,content,49500,16000,2400
2025-04,strategy,72480,0,400
2025-04,cmo,20000,0,300
2025-05,brand,166257,0,3600
2025-05,digital,153691,12500,1600
2025-05,content,58500,14000,2400
2025-05,strategy,66713,0,400
2025-05,cmo,20000,0,300
2025-06,brand,132937,0,4000
2025-06,digital,101743,8000,1600
2025-06,content,49500,14000,2800
2025-06,strategy,39190,0,400
2025-06,cmo,20000,0,300
2025-07,brand,177569,1500,3600
2025-07,digital,141958,8000,1900
2025-07,content,77500,16000,2400
2025-07,strategy,64897,0,400
2025-07,cmo,20000,0,300
2025-08,brand,158495,0,3200
2025-08,digital,134945,10000,1600
2025-08,content,77500,16000,2400
2025-08,strategy,54777,0,400
2025-08,cmo,20000,0,300
2025-09,brand,215272,0,4000
2025-09,digital,133630,12500,2200
2025-09,content,84500,12000,2800
2025-09,strategy,69063,0,400
2025-09,cmo,20000,0,300
2025-10,brand,167558,0,3200
2025-10,digital,183572,6500,1900
2025-10,content,77500,16000,3300
2025-10,strategy,56564,0,400
2025-10,cmo,58000,0,300
2025-11,brand,155128,0,3600
2025-11,digital,91225,8000,1600
2025-11,content,77500,16000,3300
2025-11,strategy,47446,0,400
2025-11,cmo,46000,0,300
2025-12,brand,106896,3000,3200
2025-12,digital,75417,12500,2200
2025-12,content,85500,12000,3300
2025-12,strategy,30918,0,400
2025-12,cmo,46000,0,300
2026-01,brand,144288,0,3200
2026-01,digital,84895,8000,2200
2026-01,content,77500,12000,2400
2026-01,strategy,36425,0,400
2026-01,cmo,46000,0,300
2026-02,brand,110596,3000,4000
2026-02,digital,107901,6500,1600
2026-02,content,75500,12000,2800
2026-02,strategy,31221,0,400
2026-02,cmo,75000,0,300
2026-03,brand,150855,0,4000
2026-03,digital,136158,6500,1600
2026-03,content,81500,14000,2800
2026-03,strategy,48830,0,400
2026-03,cmo,63000,0,300
2026-04,brand,138367,0,3200
2026-04,digital,144525,6500,1900
2026-04,content,75500,14000,3300
2026-04,strategy,32954,0,400
2026-04,cmo,63000,0,300
2026-05,brand,175360,0,3600
2026-05,digital,101339,6500,1900
2026-05,content,75500,12000,3300
2026-05,strategy,37339,0,400
2026-05,cmo,63000,0,300
2026-06,brand,154103,0,3600
2026-06,digital,115537,12500,1600
2026-06,content,84500,14000,3300
2026-06,strategy,31632,0,400
2026-06,cmo,63000,0,300
2026-07,brand,153430,1500,3600
2026-07,digital,87994,6500,1600
2026-07,content,75500,12000,2400
2026-07,strategy,43805,0,400
2026-07,cmo,63000,0,300
2026-08,brand,108146,3000,3200
2026-08,digital,87808,6500,2200
2026-08,content,80500,14000,2800
2026-08,strategy,43803,0,400
2026-08,cmo,63000,0,300
2026-09,brand,177639,0,3200
2026-09,digital,136349,12500,1600
2026-09,content,75500,14000,3300
2026-09,strategy,54551,0,400
2026-09,cmo,63000,0,300
2026-10,brand,188995,1500,4000
2026-10,digital,166592,10000,1900
2026-10,content,75500,12000,2400
2026-10,strategy,61284,0,400
2026-10,cmo,63000,0,300
2026-11,brand,139760,3000,3200
2026-11,digital,78624,12500,1600
2026-11,content,75500,16000,3300
2026-11,strategy,43437,0,400
2026-11,cmo,37000,0,300
2026-12,brand,95489,3000,3200
2026-12,digital,66745,6500,1900
2026-12,content,89000,14000,3300
2026-12,strategy,35596,0,400
2026-12,cmo,37000,0,300
2027-01,brand,123339,3000,3600
2027-01,digital,77604,6500,1600
2027-01,content,82000,16000,2800
2027-01,strategy,43618,0,400
2027-01,cmo,37000,0,300
2027-02,brand,131704,0,4000
2027-02,digital,126574,10000,2200
2027-02,content,82000,12000,2800
2027-02,strategy,28422,0,400
2027-02,cmo,37000,0,300
