month,client,line,revenue_usd,delivered_hours
2024-08,Fernhill Health,brand,17889,102.2
2024-08,Violet Ridge Vineyards,brand,6389,42.6
2024-08,Other (long tail),brand,103504,766.7
2024-08,Bright Basin Energy,digital,44009,293.4
2024-08,Stonebriar Wealth,digital,23697,163.4
2024-08,Other (long tail),digital,101560,752.3
2024-08,Timberline Credit Union,content,14000,116.7
2024-08,Violet Ridge Vineyards,content,8500,85.0
2024-08,Meridian Robotics,strategy,13489,69.2
2024-08,Other (long tail),strategy,31474,233.1
2024-09,Fernhill Health,brand,23002,131.4
2024-09,Violet Ridge Vineyards,brand,8215,54.8
2024-09,Other (long tail),brand,133081,985.8
2024-09,Bright Basin Energy,digital,46140,307.6
2024-09,Stonebriar Wealth,digital,24845,171.3
2024-09,Other (long tail),digital,106477,788.7
2024-09,Timberline Credit Union,content,14000,116.7
2024-09,Violet Ridge Vineyards,content,8500,85.0
2024-09,TrailWorks Foundation,content,7500,83.3
2024-09,Meridian Robotics,strategy,22930,117.6
2024-09,Other (long tail),strategy,53505,396.3
2024-10,Fernhill Health,brand,20165,115.2
2024-10,Violet Ridge Vineyards,brand,7202,48.0
2024-10,Other (long tail),brand,116668,864.2
2024-10,Bright Basin Energy,digital,51754,345.0
2024-10,Stonebriar Wealth,digital,27868,192.2
2024-10,Other (long tail),digital,119433,884.7
2024-10,Timberline Credit Union,content,14000,116.7
2024-10,Violet Ridge Vineyards,content,8500,85.0
2024-10,TrailWorks Foundation,content,7500,83.3
2024-10,Meridian Robotics,strategy,16538,84.8
2024-10,Other (long tail),strategy,38588,285.8
2024-11,Fernhill Health,brand,24456,139.7
2024-11,Juniper & Co.,brand,20962,123.3
2024-11,Violet Ridge Vineyards,brand,8734,58.2
2024-11,Other (long tail),brand,120532,892.8
2024-11,Bright Basin Energy,digital,34800,232.0
2024-11,Stonebriar Wealth,digital,18739,129.2
2024-11,Other (long tail),digital,80309,594.9
2024-11,Timberline Credit Union,content,14000,116.7
2024-11,Peak & Pine Outfitters,content,11000,100.0
2024-11,Violet Ridge Vineyards,content,8500,85.0
2024-11,TrailWorks Foundation,content,7500,83.3
2024-11,Meridian Robotics,strategy,16473,84.5
2024-11,Other (long tail),strategy,38437,284.7
2024-12,Fernhill Health,brand,16246,92.8
2024-12,Juniper & Co.,brand,13925,81.9
2024-12,Violet Ridge Vineyards,brand,5802,38.7
2024-12,Other (long tail),brand,80071,593.1
2024-12,Bright Basin Energy,digital,32786,218.6
2024-12,Stonebriar Wealth,digital,17654,121.8
2024-12,Other (long tail),digital,75661,560.5
2024-12,Timberline Credit Union,content,14000,116.7
2024-12,Peak & Pine Outfitters,content,11000,100.0
2024-12,Violet Ridge Vineyards,content,8500,85.0
2024-12,TrailWorks Foundation,content,7500,83.3
2024-12,Other (long tail),content,6000,44.4
2024-12,Meridian Robotics,strategy,13778,70.7
2024-12,Other (long tail),strategy,32147,238.1
2025-01,Fernhill Health,brand,15181,86.7
2025-01,Juniper & Co.,brand,13012,76.5
2025-01,Violet Ridge Vineyards,brand,5422,36.1
2025-01,Other (long tail),brand,74820,554.2
2025-01,Bright Basin Energy,digital,34637,230.9
2025-01,Stonebriar Wealth,digital,18651,128.6
2025-01,Other (long tail),digital,79931,592.1
2025-01,Timberline Credit Union,content,14000,116.7
2025-01,Peak & Pine Outfitters,content,11000,100.0
2025-01,Violet Ridge Vineyards,content,8500,85.0
2025-01,TrailWorks Foundation,content,7500,83.3
2025-01,Meridian Robotics,strategy,9774,50.1
2025-01,Larkspur Beverage Co,strategy,5213,27.4
2025-01,Other (long tail),strategy,17593,130.3
2025-02,Fernhill Health,brand,18746,107.1
2025-02,Juniper & Co.,brand,16068,94.5
2025-02,Violet Ridge Vineyards,brand,6695,44.6
2025-02,Other (long tail),brand,92394,684.4
2025-02,Bright Basin Energy,digital,39542,263.6
2025-02,Stonebriar Wealth,digital,21292,146.8
2025-02,Other (long tail),digital,91251,675.9
2025-02,Timberline Credit Union,content,14000,116.7
2025-02,Peak & Pine Outfitters,content,11000,100.0
2025-02,Copper Kettle Hospitality,content,8500,89.5
2025-02,Violet Ridge Vineyards,content,8500,85.0
2025-02,TrailWorks Foundation,content,7500,83.3
2025-02,Meridian Robotics,strategy,12550,64.4
2025-02,Larkspur Beverage Co,strategy,6693,35.2
2025-02,Other (long tail),strategy,22590,167.3
2025-03,Fernhill Health,brand,20831,119.0
2025-03,Juniper & Co.,brand,17855,105.0
2025-03,Old Harbor Seafood,brand,14879,90.2
2025-03,Violet Ridge Vineyards,brand,7440,49.6
2025-03,Other (long tail),brand,87787,650.3
2025-03,Bright Basin Energy,digital,29462,196.4
2025-03,Stonebriar Wealth,digital,15864,109.4
2025-03,Other (long tail),digital,67990,503.6
2025-03,Timberline Credit Union,content,14000,116.7
2025-03,Peak & Pine Outfitters,content,11000,100.0
2025-03,Copper Kettle Hospitality,content,8500,89.5
2025-03,Violet Ridge Vineyards,content,8500,85.0
2025-03,TrailWorks Foundation,content,7500,83.3
2025-03,Meridian Robotics,strategy,15232,78.1
2025-03,Larkspur Beverage Co,strategy,8124,42.8
2025-03,Other (long tail),strategy,27417,203.1
2025-03,Copperline Coffee Roasters,cmo,32000,123.1
2025-04,Fernhill Health,brand,17919,102.4
2025-04,Juniper & Co.,brand,15359,90.3
2025-04,Old Harbor Seafood,brand,12799,77.6
2025-04,Violet Ridge Vineyards,brand,6400,42.7
2025-04,Other (long tail),brand,75515,559.4
2025-04,Bright Basin Energy,digital,36546,243.6
2025-04,Stonebriar Wealth,digital,19679,135.7
2025-04,Other (long tail),digital,84337,624.7
2025-04,Timberline Credit Union,content,14000,116.7
2025-04,Peak & Pine Outfitters,content,11000,100.0
2025-04,Copper Kettle Hospitality,content,8500,89.5
2025-04,Violet Ridge Vineyards,content,8500,85.0
2025-04,TrailWorks Foundation,content,7500,83.3
2025-04,Meridian Robotics,strategy,21744,111.5
2025-04,Larkspur Beverage Co,strategy,11597,61.0
2025-04,Other (long tail),strategy,39139,289.9
2025-04,Copperline Coffee Roasters,cmo,20000,76.9
2025-05,Fernhill Health,brand,23276,133.0
2025-05,Juniper & Co.,brand,19951,117.4
2025-05,Old Harbor Seafood,brand,16626,100.8
2025-05,Violet Ridge Vineyards,brand,8313,55.4
2025-05,Other (long tail),brand,98091,726.6
2025-05,Bright Basin Energy,digital,39960,266.4
2025-05,Stonebriar Wealth,digital,21517,148.4
2025-05,Other (long tail),digital,92214,683.1
2025-05,Timberline Credit Union,content,14000,116.7
2025-05,Peak & Pine Outfitters,content,11000,100.0
2025-05,Copper Kettle Hospitality,content,8500,89.5
2025-05,Violet Ridge Vineyards,content,8500,85.0
2025-05,TrailWorks Foundation,content,7500,83.3
2025-05,Other (long tail),content,9000,66.7
2025-05,Meridian Robotics,strategy,20014,102.6
2025-05,Larkspur Beverage Co,strategy,10674,56.2
2025-05,Other (long tail),strategy,36025,266.9
2025-05,Copperline Coffee Roasters,cmo,20000,76.9
2025-06,Fernhill Health,brand,18611,106.3
2025-06,Juniper & Co.,brand,15952,93.8
2025-06,Old Harbor Seafood,brand,13294,80.6
2025-06,Violet Ridge Vineyards,brand,6647,44.3
2025-06,Other (long tail),brand,78433,581.0
2025-06,Bright Basin Energy,digital,26453,176.4
2025-06,Stonebriar Wealth,digital,14244,98.2
2025-06,Other (long tail),digital,61046,452.2
2025-06,Timberline Credit Union,content,14000,116.7
2025-06,Peak & Pine Outfitters,content,11000,100.0
2025-06,Copper Kettle Hospitality,content,8500,89.5
2025-06,Violet Ridge Vineyards,content,8500,85.0
2025-06,TrailWorks Foundation,content,7500,83.3
2025-06,Meridian Robotics,strategy,11757,60.3
2025-06,Larkspur Beverage Co,strategy,6270,33.0
2025-06,Other (long tail),strategy,21163,156.8
2025-06,Copperline Coffee Roasters,cmo,20000,76.9
2025-07,Cascadia Sport Group,brand,74579,331.5
2025-07,Fernhill Health,brand,24860,142.1
2025-07,Juniper & Co.,brand,21308,125.3
2025-07,Old Harbor Seafood,brand,17757,107.6
2025-07,Violet Ridge Vineyards,brand,8878,59.2
2025-07,Other (long tail),brand,30187,223.6
2025-07,Bright Basin Energy,digital,36909,246.1
2025-07,Stonebriar Wealth,digital,19874,137.1
2025-07,Other (long tail),digital,85175,630.9
2025-07,Cascadia Sport Group,content,28000,124.4
2025-07,Timberline Credit Union,content,14000,116.7
2025-07,Peak & Pine Outfitters,content,11000,100.0
2025-07,Copper Kettle Hospitality,content,8500,89.5
2025-07,Violet Ridge Vineyards,content,8500,85.0
2025-07,TrailWorks Foundation,content,7500,83.3
2025-07,Meridian Robotics,strategy,19469,99.8
2025-07,Larkspur Beverage Co,strategy,10384,54.7
2025-07,Other (long tail),strategy,35044,259.6
2025-07,Copperline Coffee Roasters,cmo,20000,76.9
2025-08,Cascadia Sport Group,brand,66568,295.9
2025-08,Fernhill Health,brand,22189,126.8
2025-08,Juniper & Co.,brand,19019,111.9
2025-08,Old Harbor Seafood,brand,15850,96.1
2025-08,Violet Ridge Vineyards,brand,7925,52.8
2025-08,Other (long tail),brand,26944,199.6
2025-08,Bright Basin Energy,digital,35086,233.9
2025-08,Stonebriar Wealth,digital,18892,130.3
2025-08,Other (long tail),digital,80967,599.8
2025-08,Cascadia Sport Group,content,28000,124.4
2025-08,Timberline Credit Union,content,14000,116.7
2025-08,Peak & Pine Outfitters,content,11000,100.0
2025-08,Copper Kettle Hospitality,content,8500,89.5
2025-08,Violet Ridge Vineyards,content,8500,85.0
2025-08,TrailWorks Foundation,content,7500,83.3
